Genus_species,genus_species,mean_Hs_MV,mean_Hs_MY,mean_Hs_SC,sd_Hs_MV,sd_Hs_MY,sd_Hs_SC,mean_Hs_MF,sd_Hs_MF,Alpha,Gamma,Gamma_sd,Beta,MV_MF,MV_MY,MV_SC,MF_MY,MF_SC,MY_SC,n_genetics,N_WIO_pop,Family,Nb_sp_per_family,Genus,Nb_Genus_per_family,Body_size,Diet,Home_range,Schooling,Water_level,Reproduction,PLD,size_category_cm,PLD_category_days,Mean_Adb,Abd_cum,Nb_trans,Abd_relative,EyeD,JawL,HeadL,PreED,PeduncleH,PeduncleL,DorsalL,AnalL,PectoralBL,Pre_Anal,SL,BH,Pre_PectoralBL,Pre_DorsalL,ratio_ELO,ratio_PeduncleELO,ratio_EyeD,ratio_JawL,ratio_HeadL,ratio_PeduncleH,ratio_DorsalL,ratio_AnalL,ratio_PectoralBL,ratio_PreED,ratio_Pre_AL,ratio_Pre_PectoralBL,ratio_Pre_DorsalL,n_morpho
Caranx_melampygus,Car_m,"0,278602739959442","0,296700827831288","0,233181615214435","0,001902491029057","0,001780530378733","0,002413829983945","0,263323399207525","0,002377115886811","0,267952145553173","0,310400017466752","0,001298688893885","-0,003406182213395","-0,00706082783162","-0,005246588529702","-0,004144364634091","-0,002863828865485","0,000622523293629","0,001688475098202",15,4,Carangidae,146,Caranx,30,117,FC,VMob,SmallG,High,nonguarders,"57,6",>55,>45,4,24,6,"0,194773575718228","0,118456317786917","0,163909141528504","0,129633833665616","0,083334706862302","0,034850672756672","0,19327515023653","0,271585066185732","0,29271208705912","0,076608353974299","0,382824997998205","0,211236534473594","0,217274695928148","0,124797065139255","0,301387061046392","3,58596146040615","3,61838842441381","0,71598433643377","1,35045041522733","0,228860213723153","0,296010734768182","0,571343103068292","0,528907586794772","0,100225155058465","0,562751408524671","0,37304648050621","0,110600146921768","0,393758331552836",8
Chaetodon_trifasciatus,Cha_t,"0,255693193626982","0,256738926896068","0,25889455579569","0,001958794285186","0,00214350227819","0,002056292302379","0,257378474330918","0,002227972940514","0,257176287662414","0,269325972753254","0,001774552097102","0,005424539199323","0,007537161785285","0,010571609975389","0,010032365915758","0,000327752596678","0,001285215166535","0,002238810382857",48,4,Chaetodontidae,132,Chaetodon,12,15,IS,Sed,SmallG,Bottom,nonguarders,43,12_27,33-44,"2,45833325",112,42,"0,908943353351729","0,035153156031285","0,078910639460582","0,07297683476314","0,033934500570292","0,023177804002498","0,117646769610909","0,042683117568883","0,094720327397294","0,065764072118696","0,124515983152384","0,115798939517376","0,13258415196479","0,133061192704747","0,020154722048802","0,930546391627023","1,69128973331795","0,203867159422503","0,659590455699414","0,151037105400379","0,075374731503015","0,107726862438193","0,122686304382052","0,112004107533317","0,315418451959386","0,253480945765748","0,243826061785828","0,066802163091213",71
Chromis_atripectoralis,Chr_a,"0,238054074305104","0,260425683880514","0,259653113504949","0,001168852588151","0,001046813324501","0,001342010728675","0,21754861952661","0,001331750994109","0,243920372804294","0,266292870300905","0,000981385583433","0,011541246619555","0,028450854414151","0,017309799370436","0,01631184015888","6,66E-05","0,007299362158309","0,003445284162574",34,4,Pomacentridae,405,Chromis,29,12,PK,Sed,LargeG,Low,guarders,19,7_12,<21,"167,533333333333",1393,19,"11,3049829573121","0,053004217184344","0,057867683221467","0,075098739982423","0,043215987576012","0,05584056669745","0,174457973739892","0,093523413064869","0,009616448819096","0,081697161588027","0,074600579053081","0,055762578845282","0,099688957040385","0,060213420439471","0,089326182758073","0,854064687306801","1,21112716160326","0,169173059401923","0,420036702303295","0,115506776847422","0,223542346432097","0,148574334240411","0,049520891454406","0,127798806570496","0,119506883352542","0,197645879059349","0,103145508974984","0,145740728460437",91
Chromis_ternatensis,Chr_t,"0,23204832580132","0,245646167903699","0,2438089426264","0,001936109296171","0,00202810596658","0,002172828083903","0,24659583690214","0,002080758273766","0,24202481830839","0,25642446347726","0,001772961591197","0,018948751230568","0,033656898960085","0,034625471779267","0,035481233984534","-0,002297109841581","-0,001842889945219","-0,00058128750362",47,4,Pomacentridae,405,Chromis,29,"10,5",PK,Sed,LargeG,Low,guarders,"28,5",7_12,21_32,"57,5277777777778",1012,17,"8,21295244278526","0,06372583836529","0,04996186614515","0,067630271467257","0,020228881615275","0,043618550054238","0,045368482081684","0,068531777981273","0,040618574211003","0,053070168650587","0,081578737316009","0,053295173132049","0,142605999885686","0,139851589761406","0,101025334428529","1,08394135236772","0,597259369259988","0,242704920650817","0,342844137124945","0,114136533623458","0,187863712229191","0,144753127145785","0,079834240345691","0,078431304772797","0,330146708980205","0,103486950381321","0,220896022625713","0,140245545514491",83
Chromis_weberi,Chr_w,"0,223959732514109","0,238029233991304","0,238277165746446","0,001839800032942","0,002053184781839","0,00192401115252","0,237668944886805","0,001728362891565","0,234483769284666","0,248640839599669","0,001554865534364","0,015791902622127","0,033746287743268","0,033777781140642","0,033399338099811","-0,000833668375694","0,000957314473696","0,000592974268697",45,4,Pomacentridae,405,Chromis,29,"13,5",PK,Sed,LargeG,Low,guarders,"31,2",12_27,21_32,"24,2759464188034",526,30,"4,26878753449115","0,034767995878125","0,085356581613841","0,038241757934112","0,038690941333084","0,050951260743698","0,07282098264969","0,057058880872434","0,067902299675421","0,0548040132839","0,103818167580927","0,044729848728886","0,13049714192709","0,06654314273677","0,0233681729288","1,31220921176239","0,266413350823551","0,166192492506917","0,373670440358136","0,079071940258966","0,242132128455316","0,082399189583027","0,087224503499875","0,086966039656568","0,269689761189674","0,192317991572631","0,095545301550386","0,059784555170348",115
Ctenochaetus_striatus,Cte_s,"0,254686027412099","0,257623447519091","0,235302031256823","0,002007903255823","0,002052772645934","0,002310690738272","0,255830098920437","0,001803624271432","0,250860401277113","0,267172203715304","0,001704556708282","0,001287145704547","0,005016678260406","0,002892218107631","0,000491464497383","-0,000397746800353","-0,001780244975837","-0,00212308641377",69,4,Acanthuridae,84,Ctenochaetus,6,26,OM,Sed,LargeG,Bottom,nonguarders,"43,87",12_27,>45,"12,3671680119048",446,46,"3,61954228209706","0,055602211812989","0,072188731151862","0,177430534192436","0,058615354024913","0,043960998698912","0,170876729742068","0,120604233711234","0,234893224125229","0,073118421667232","0,136341478463927","0,138035492712703","0,36407226860095","0,078657788518696","0,06129885780615","2,08195667607563","1,82458002728945","0,188839476018646","0,763605251673185","0,252495603014973","0,232313303687828","0,227580665402351","0,441413972052988","0,134180728136975","0,236039270239699","0,23977658698613","0,111112182024227","0,099094888698475",84
Dascyllus_aruanus,Das_a,"0,237905096564404","0,24979786256063","0,253165389732158","0,002375714100361","0,001944834299675","0,002217182303517","0,258050357534011","0,002154122310795","0,249729676597801","0,267661080233744","0,001915926680578","0,025901502270417","0,041741178007211","0,042249281762611","0,046533165306294","0,001467929660176","0,000871143713869","0,000694762422912",38,4,Pomacentridae,405,Dascyllus,29,10,PK,Sed,LargeG,Bottom,guarders,"21,1",7_12,21_32,"9,41666666666667",68,6,"0,551858464534978","0,145195453724145","0,114717965424996","0,266117820471785","0,025133390134093","0,07338757143596","0,061183557471447","0,137559332070628","0,085199637666208","0,073182789263181","0,170954058381042","0,081327078015761","0,067082587653981","0,214476554743883","0,19019086617781","0,400736771405487","0,465828993396567","0,241596407890779","0,490547727948976","0,399871231336872","0,273622293641635","0,32243164690456","0,144507891060833","0,116767330631936","0,116368301992033","0,1845753448689","0,29641579351758","0,228157781634806",42
Dascyllus_carneus,Das_c,"0,24033523303784","0,243067649350603","0,240502989998463","0,001933569286588","0,002082990228545","0,00188368902236","0,239692290934339","0,002034966434721","0,240899540830311","0,254025993050271","0,001676006153282","0,006027214026289","0,006691592785833","0,01105719694247","0,011431374897837","-0,002438924447018","0,000372070515569","0,000962922828619",54,4,Pomacentridae,405,Dascyllus,29,7,PK,Sed,LargeG,Bottom,guarders,"24,3",7_12,21_32,"56,9703703703704",2119,39,"17,1968836227885","0,101436595065929","0,055722795171172","0,090965634381822","0,029949456137087","0,03615555766935","0,033276021337884","0,058371610960066","0,048099920816146","0,075957856366045","0,053468093380621","0,041429802372887","0,179965196724684","0,151574532555367","0,079233416846876","0,801660687257421","0,366097546377901","0,440317295956664","0,247192663633226","0,144239035711127","0,120721465768675","0,137174052418797","0,058003034765301","0,114335160791282","0,191184280861895","0,107537992091615","0,196955148226396","0,102256436770712",129
Dascyllus_trimaculatus,Das_t,"0,247450869663465","0,245173147421857","0,252072154846502","0,002335356519074","0,002334059618023","0,002166878060379","0,248134449889812","0,002154111642215","0,248207655455409","0,262014690319217","0,001823297052707","0,004534184851341","0,008508139302231","0,007110177069552","0,005764640553516","0,001028351576995","0,002500033419493","-0,000340525843592",38,4,Pomacentridae,405,Dascyllus,29,14,PK,Sed,SmallG,Bottom,guarders,28,7_12,21_32,"29,3616071428571",1072,41,"8,69988638208083","0,241737556824142","0,14459288869205","0,33012294289716","0,098353849536264","0,024595834496805","0,124185927730298","0,172205629988122","0,047497042982498","0,009287951046128","0,145378373606584","0,17301887328793","0,13171393967785","0,302225531335943","0,248235071958232","1,1328084390084","0,997908554229924","0,521795205600366","0,310898970547465","0,45216731750139","0,131274085912357","0,471175810855775","0,139198568689156","0,040800157802331","0,660759009925244","0,1163234437684","0,405796210747859","0,260888273854256",38
Gomphosus_caeruleus,Gom_c,"0,255319667932857","0,255855314377014","0,257751347463176","0,001602578342805","0,001294198001113","0,001194920063406","0,250739190353437","0,001344230683781","0,254916380031621","0,267427417679312","0,00112193437166","0,001551484206162","0,002467150185607","6,16E-05","0,0020204162256","0,002832557531992","0,001744999808372","0,000512661540278",43,4,Labridae,549,Gomphosus,71,32,IM,Mob,SmallG,Bottom,nonguarders,"56,6",27_38,>45,"4,73723776223776",213,50,"1,72861548449927","0,067678259772266","0,234859778229678","0,127467994126511","0,089964119351099","0,08114429380718","0,126828367569824","0,115514153983937","0,072528963598466","0,065578824587075","0,138144947461632","0,154052438919548","0,055555433297126","0,113356602885431","0,143489536429632","1,73959951821729","2,0249970796455","0,373387809453589","0,873434626217214","0,152822917993591","0,37036284889311","0,133324715332825","0,122016339642682","0,073067410952897","0,324067590466588","0,097848919701704","0,202119729403875","0,201640496142913",68
Halichoeres_hortulanus,Hal_h,"0,272680556521182","0,275560056503694","0,273457464303568","0,002201372401942","0,002261599479884","0,001952538617872","0,267859243513141","0,002181908798101","0,272389330210397","0,286917691315771","0,001880104506692","0,004135652275754","0,005834043084995","0,00753391956381","0,006828248134848","-0,000906498140064","0,001954871103736","-0,000175600855224",41,4,Labridae,549,Halichoeres,71,27,IM,Mob,SmallG,Bottom,nonguarders,"32,5",12_27,33-44,"4,05307008333333",207,51,"1,67992209056971","0,066088799870078","0,070469415952738","0,13227803566442","0,066268419135297","0,103057263112679","0,274959185242244","0,067356027306835","0,145863506436429","0,037066475951691","0,098780982582321","0,226991446620841","0,070409632720195","0,100766269220918","0,063233014984877","0,689465061720136","2,22229631534498","0,37727470158523","0,367278179759111","0,21199452660899","0,400366299925583","0,243827622880485","0,133002177323616","0,060095327493531","0,364015988366309","0,221958393508415","0,118881931891791","0,125884365136871",81
Hemigymnus_fasciatus,Hem_f,"0,262454543676677","0,2875928589001","0,28798989600343","0,002132710613399","0,002170996953144","0,002092811579598","0,289389186489687","0,002018422114266","0,281856621267473","0,303625672636806","0,001770042864966","0,043716624157932","0,080948455226728","0,081395852625063","0,080957685921096","0,000917066877938","0,003008169766576","0,004848913046427",40,4,Labridae,549,Hemigymnus,71,30,IM,Mob,SmallG,Bottom,nonguarders,"25,8",>55,21_32,"1,57058823529412",39,22,"0,31650706054212","0,088708248475741","0,070970997908252","0,263103920760534","0,180535050786491","0,064111762672652","0,340361733353771","0,209597930827624","0,227735377625507","0,089015445786752","0,31656945899411","0,22533772037577","0,152354809250897","0,238532868570489","0,201516096102883","1,66683278733955","1,71328271152464","0,36212991636495","0,698350507086304","0,306724493669287","0,315383468640892","0,437792858166174","0,255045932884413","0,106804150721983","1,4029037472999","0,545625398046813","0,358830103974258","0,383949053400862",40
