Region,Site,Location,year,depth,Site.ID,RF_geomorpho,exposure,GPS.Latitude,GPS.Longitude,Sample_ID,Family,genus_species,weight,temperature
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_009,Chaetodontidae,Chaetodon_trifasciatus,34,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_010,Chaetodontidae,Chaetodon_trifasciatus,41,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_011,Chaetodontidae,Chaetodon_trifasciatus,39,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_012,Chaetodontidae,Chaetodon_trifasciatus,28,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_032,Pomacentridae,Chromis_weberi,6,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_033,Pomacentridae,Chromis_weberi,6,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_024,Acanthuridae,Ctenochaetus_striatus,76,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_025,Acanthuridae,Ctenochaetus_striatus,131,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_026,Acanthuridae,Ctenochaetus_striatus,90,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_001,Labridae,Halichoeres_hortulanus,45,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_002,Labridae,Halichoeres_hortulanus,42,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_003,Labridae,Halichoeres_hortulanus,60,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_016,Labridae,Halichoeres_hortulanus,92,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_017,Labridae,Halichoeres_hortulanus,22,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_031,Labridae,Hemigymnus_fasciatus,241,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_034,Lethrinidae,Monotaxis_grandoculis,513,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.961611111,39.79494444,17_MF_035,Lethrinidae,Monotaxis_grandoculis,493,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_027,Acanthuridae,Naso_brevirostris,144,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_028,Acanthuridae,Naso_brevirostris,95,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_029,Acanthuridae,Naso_brevirostris,133,27
WIO,Mafia,small rock,2017,13.3,1.1,Patch,Medium,7.955361111,39.79766667,17_MF_030,Labridae,Oxycheilinus_digramma,126,27
